dyad,task,task_order,creativity_score,LEXDIVD_essay,ADJ_ATTR_essay,FRSLacsm_essay,TAALES.proportion_unique_written_trigrams_essay,PRES_essay,TAALES.bnc_written_range_content_average_essay,ADVS_essay,P_AND_essay,TAALES.proportion_unique_spoken_trigrams_essay,TAALES.afl_all_count_norm_essay,LEXDIVTD_essay,TAALES.B_AoA_funct_average_essay,PrivateVerb_essay,GEN_EMPH_essay,TAACO_all_positive_bk_essay,ADJ_PRED_essay,LSAGN_essay,POS_NNP_essay,TAALES.meaningfulness_colorado_average_essay,TAACO_Adjacent_Overlap_2_CW_essay,Exemplification_essay
s11s12,antenna,third,16.0465,96,14,1.540503883,0.078534031,26,52.20142697,32,4,0.09947644,0.005221932,107.9270506,4.256708861,0.763358779,5,0.18537859,2,0.258825213,33.07888041,353.4562044,0.101190476,0.763358779
s11s12,chair,second,17.4095,102,29,1.783380307,0.124721604,31,56.7298163,36,6,0.142538976,0.015555556,97.83316671,4.395238095,1.716738197,2,0.168888889,6,0.24925153,32.1888412,365.2895522,0.050113895,1.287553648
s11s12,pipe,first,9.9735,75,14,1.83509164,0.121661721,27,57.97133572,18,7,0.127596439,0.00887574,77.20207222,4.371788618,2.046783626,1,0.168639053,4,0.29056266,26.31578947,362.1782946,0.086956522,0.292397661
s13s14,antenna,first,16.126,102,31,1.95042831,0.096202532,71,56.79987776,55,8,0.112658228,0,71.26489296,4.343734177,0.24968789,10,0.195954488,19,0.282178968,11.23595506,347.656304,0.074683544,0.624219725
s13s14,chair,third,18.2805,76,41,1.934601037,0.110354223,38,59.21528766,37,10,0.110354223,0.008163265,65.44687665,4.247560137,0.932090546,5,0.20952381,13,0.283694476,13.31557923,354.2849558,0.078296703,1.331557923
s13s14,pipe,second,9.227,72,14,2.134124306,0.10877193,23,62.91842373,22,4,0.143859649,0.003496503,72.41482404,4.29974359,1.742160279,2,0.188811189,1,0.260778159,13.93728223,364.9642857,0.070921986,1.393728223
s15s16,antenna,third,18.674,159,35,1.83840732,0.087328767,88,54.51587545,117,4,0.109589041,0.006843456,131.3210784,4.331067961,1.31147541,15,0.152266895,25,0.2252018,41.80327869,356.4489545,0.032646048,1.147540984
s15s16,chair,first,16.502,123,44,1.877631615,0.104095563,72,58.9314478,104,11,0.134812287,0.009377664,99.56160103,4.370778589,1.31040131,11,0.171355499,22,0.263243765,34.3980344,365.989547,0.054794521,1.228501229
s15s16,pipe,second,18.241,153,53,1.846683015,0.088039867,77,56.30866099,124,13,0.112126246,0.004979253,109.2232062,4.389795396,1.512738854,18,0.142738589,58,0.253127456,35.82802548,374.2044393,0.052412646,1.512738854
s17s18,antenna,first,13.9615,72,41,2.049775769,0.13470116,70,61.83258007,85,4,0.147190009,0.010695187,65.58611207,4.485862069,0.963222417,7,0.188057041,17,0.324748874,14.88616462,345.2142857,0.086021505,1.050788091
