headline,filename,conditionNum,condition,MLC,numContenWords,numWords,numFunctionWords,MRC_Familiarity,MRC_Concreteness,MRC_Imagability,AOA,VADER,COCA_new_Frequency_CW,familiarCS,understandingCS,positiveCS,sincereCS,funnyCS
" 'State Of The Union Strong,' Says Man Burdened With Protecting Nation From Truth",atten03_revision.txt,1,atten,13,9,13,4,559.43,429,482.29,6.11,-0.1,479.46,26.47058824,58.82352941,17.64705882,26.47058824,17.64705882
57 Women Stoned To Death During Annual Riyadh Fashion Week,saturation03.txt,5,saturation,10,8,10,2,559.5,459.6,500.5,6.22,-0.6,181.57,25,91.66666667,0,66.66666667,4.166666667
A New Mars Mission Is Set to Launch to Study Gases and Storms,control39.txt,2,control,13,9,13,4,541.4,390.8,444,6.45,0,1287.23,50,94.44444444,86.11111111,86.11111111,0
A Rough Final Winter For New Yorkês Sanitation Chief,control03.txt,2,control,10,7,9,2,532.67,438.6,488.17,6.75,0,425.81,19.23076923,92.30769231,3.846153846,76.92307692,7.692307692
Anger as Senator Breaks Ranks on Supreme Court Hearings,control10.txt,2,control,9,7,9,2,548.75,388.25,459.75,7.6,-0.03,83.86,29.41176471,79.41176471,2.941176471,76.47058824,2.941176471
Area Woman Overjoyed By News Of Giant Uterine Parasite,atten01_revision.txt,1,atten,9,7,9,2,553,479,516.5,7.98,0.57,142.45,7.692307692,61.53846154,23.07692308,11.53846154,57.69230769
"As Propane Prices Rise, Worries Continue To Grow For Millions Of Americans",control05.txt,2,control,12,8,12,4,542.33,380.33,420.67,7.43,-0.42,97.93,46.66666667,86.66666667,3.333333333,83.33333333,0
At Least 61 People Were Detained In Russia Ahead Of The Sochi Olympics Opening Ceremony,control06.txt,2,control,15,11,15,4,558.6,380,415.6,6.87,-0.4,414.86,37.5,95.83333333,4.166666667,62.5,0
Authors Of New Medical Study Suggest Misplaced Fears In Longer Childbirths,control02.txt,2,control,11,9,11,2,579,389.25,435.75,6.4,-0.42,325.81,17.24137931,82.75862069,41.37931034,89.65517241,0
Belligerent Drunken Man Careens Wildly Across Internet,metaphor01_revision.txt,3,metaphor,7,6,7,1,471.5,618,455.5,9.44,0,94.54,17.14285714,65.71428571,17.14285714,11.42857143,74.28571429
Chinese Factory Workers Terrified Machines Never To Replace Them,negation01_revision.txt,4,negation,9,7,9,2,567.5,488.75,505,6.81,-0.61,144.53,23.33333333,56.66666667,10,20,53.33333333
"Chinese Woman Gives Birth to Septuplets, Given Single Week To Choose",atten06_revision.txt,1,atten,11,9,11,2,572.43,399,445.57,5.04,0,156.17,13.33333333,66.66666667,20,46.66666667,3.333333333
College Roommates Still Donêt Know Each Other Well Enough To Avoid Conversations,negation09_revision.txt,4,negation,13,8,12,4,583,412.25,433.75,7.11,-0.03,351.94,21.875,78.125,31.25,28.125,65.625
Decades Of Breathing Really Starting To Catch Up With Chinese Businessman,saturation07.txt,5,saturation,11,7,11,4,562,0,246,6.43,0,123.98,22.85714286,48.57142857,11.42857143,11.42857143,45.71428571
"Diabetic, Gout-Ridden Kim Jong-Un By Far Healthiest Person In North Korea",saturation04.txt,5,saturation,11,9,11,2,603.5,432,486.5,6.98,0,122.43,18.18181818,86.36363636,22.72727273,0,81.81818182
Drone Places Fresh Kill On Steps Of White House,metaphor06.txt,3,metaphor,9,7,9,2,584.17,480.2,494.33,5.5,-0.53,195.41,26.92307692,76.92307692,7.692307692,30.76923077,46.15384615
"Drowsy, Bleary-Eyed Tourist Briefly Forgets Hotel Cleaning Staff Not Human",negation03_revision.txt,4,negation,10,10,10,0,574.83,481.17,483.67,6.28,0,409.11,0,40,12,16,52
Flight Attendant Drug Case Raises Large Security Issues,control09.txt,2,control,8,8,8,0,541.71,434,450.43,7.65,0.34,161.04,53.125,100,6.25,84.375,0
Florida Governor Signs Law to Cut Funding for Teen Clinics ,control22.txt,2,control,10,8,10,2,562,433,467.67,7.62,-0.27,127.13,35.13513514,91.89189189,2.702702703,75.67567568,2.702702703
Government Officials Question The Rising Costs Of Generic Drugs,control26.txt,2,control,9,7,9,2,577.5,429,462.25,8.02,0,218.93,74.07407407,96.2962963,44.44444444,85.18518519,0
Government Passes New Bill Adding Armed Patrol To Poverty Line,metaphor05_revision.txt,3,metaphor,10,9,10,1,574.71,442.71,500.57,6.88,-0.51,381.59,21.875,56.25,18.75,28.125,28.125
Guy Rolls Up Some Fat Burritos To Pass Around At Party,metaphor03_revision.txt,3,metaphor,11,6,11,5,572,488.6,539.2,5.42,0.4,112.87,20,76,80,28,88
Hong Kong Officials And Protesters Agree To Hold Talks On Democracy,control14.txt,2,control,11,8,11,3,591.67,378.67,411,7.66,0.15,104.12,18.75,90.625,100,90.625,0
