subject,emotions1,emotions2,emotions3,emotions4,emotions5,emotions6,emotions7,psychdistance1,psychdistance2,psychdistance3,liking1,liking2,liking3,liking4,liking5,humor1,humor2,humor3,condition
1,4,1,4,4,1,1,4,5,6,2,3,4,4,2,2,1,3,2,Satire NZ
2,4,4,6,3,5,2,5,6,6,6,4,4,5,2,2,2,5,4,Satire UK
3,2,5,5,3,5,5,6,6,6,1,4,2,4,2,4,2,2,1,Satire NZ
4,2,2,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Regular news NZ
5,2,2,2,1,1,1,4,6,6,4,4,3,5,2,2,1,1,1,Regular news NZ
6,1,2,4,2,1,3,4,6,6,2,6,5,6,2,2,1,2,3,Satire NZ
7,4,5,4,6,4,5,6,5,6,7,5,4,6,5,4,2,4,4,Regular news UK
8,5,2,6,3,5,5,6,6,7,3,7,1,7,1,1,1,1,1,Satire UK
9,1,1,5,1,5,1,1,7,7,7,3,2,2,2,2,1,2,2,Regular news NZ
10,2,2,5,2,2,1,5,7,7,7,7,1,7,2,1,1,1,1,Regular news UK
11,3,3,3,3,3,3,5,5,6,5,3,1,3,1,1,1,1,1,Satire NZ
12,7,6,5,7,3,3,3,4,6,5,4,7,6,6,6,4,6,6,Regular news NZ
13,4,4,4,4,4,4,4,6,6,6,2,3,3,3,1,1,2,2,Regular news NZ
14,4,4,4,4,4,4,4,4,5,4,3,2,5,1,1,2,1,3,Regular news NZ
15,1,4,2,2,2,2,2,3,6,3,2,2,2,2,2,2,3,3,Satire UK
16,5,4,4,6,5,5,5,5,5,3,6,5,5,4,5,3,4,4,Satire UK
17,3,4,2,2,2,5,5,2,6,1,6,6,6,4,4,6,6,6,Satire NZ
18,4,4,4,4,2,5,2,4,6,6,4,4,5,2,3,1,1,3,Satire NZ
19,2,3,4,3,4,4,5,5,6,6,3,3,5,2,3,2,3,2,Satire UK
20,2,2,2,2,2,2,2,4,4,4,6,2,4,2,2,2,2,2,Regular news UK
21,3,4,5,3,4,4,5,5,5,2,5,2,5,3,2,1,2,4,Regular news UK
22,2,2,2,2,6,5,5,6,6,6,4,1,2,4,1,6,6,4,Satire UK
23,3,4,4,2,2,1,3,2,6,5,5,3,5,4,3,2,2,3,Regular news UK
24,4,4,4,4,4,4,4,5,5,5,3,3,3,2,2,2,2,2,Regular news NZ
25,4,4,4,4,3,4,3,5,5,5,3,4,4,3,2,2,2,2,Regular news NZ
26,4,4,3,2,5,6,6,5,6,5,5,5,6,5,3,1,5,6,Regular news NZ
27,4,4,4,4,4,4,4,6,6,5,3,3,5,3,1,1,1,1,Regular news UK
28,5,5,6,3,5,5,7,5,2,2,6,6,6,4,3,1,1,5,Satire UK
29,2,4,5,2,5,2,2,2,6,5,3,2,5,2,2,2,2,2,Regular news UK
30,4,4,4,3,5,4,5,5,6,6,2,2,4,2,2,1,1,1,Satire UK
31,2,2,2,2,2,2,2,2,6,3,5,1,6,2,3,1,2,2,Regular news UK
32,1,1,1,1,1,1,1,4,5,2,5,4,4,2,1,1,1,2,Satire NZ
33,2,2,2,2,2,2,2,2,6,3,4,2,2,2,2,2,2,2,Regular news UK
34,4,4,4,4,4,4,5,6,7,5,3,4,4,4,4,5,4,4,Regular news NZ
35,1,4,5,2,5,3,5,6,7,6,6,1,5,1,5,1,4,4,Regular news UK
36,4,4,4,4,4,5,5,5,6,5,3,4,5,3,4,3,3,5,Regular news UK
37,2,4,3,1,5,4,5,6,6,6,3,2,5,2,1,3,2,2,Satire NZ
38,2,2,2,2,2,6,7,6,5,6,2,2,1,1,2,3,6,2,Regular news NZ
39,2,3,5,2,5,3,5,5,7,6,4,4,4,2,2,4,5,3,Regular news UK
40,4,4,4,2,1,2,5,5,7,2,5,5,4,5,4,6,6,5,Satire NZ
41,2,2,5,3,3,2,4,2,6,5,2,3,3,2,2,2,5,2,Regular news UK
42,4,2,4,2,5,4,5,4,5,4,4,2,4,2,2,3,3,3,Satire NZ
43,1,1,5,1,6,5,6,2,6,2,4,2,2,2,2,2,2,2,Satire UK
44,6,6,5,3,4,4,5,6,5,6,5,4,5,5,4,4,4,4,Regular news NZ
45,3,4,4,5,3,4,4,5,6,6,4,3,4,3,3,5,5,5,Satire NZ
46,1,4,4,5,5,2,5,6,4,3,5,3,5,1,2,1,1,3,Regular news UK
47,3,2,3,4,1,5,3,2,4,2,5,2,3,5,2,5,5,2,Satire UK
48,4,3,4,3,3,5,5,4,4,4,4,3,5,4,4,5,5,5,Satire UK
49,4,2,4,2,5,4,5,2,4,6,3,4,5,2,2,1,2,4,Regular news UK
50,1,1,1,1,1,1,1,3,3,3,4,3,5,3,3,5,5,5,Satire NZ
51,1,2,2,2,2,3,2,1,4,1,1,1,1,1,1,7,7,7,Regular news UK
52,1,1,4,1,1,1,1,1,6,2,5,1,5,1,1,1,1,1,Regular news UK
53,3,3,3,4,3,1,5,6,6,6,4,4,4,3,3,3,3,3,Regular news UK
54,3,5,3,2,1,1,1,5,5,6,5,4,6,3,3,7,5,5,Satire UK
55,4,4,2,2,2,1,2,5,5,6,5,4,3,4,3,7,6,5,Satire NZ
56,4,4,4,4,3,5,3,2,5,3,3,4,4,4,4,4,4,4,Satire NZ
57,5,5,5,3,2,1,1,6,6,6,7,6,7,6,6,2,6,6,Satire UK
58,4,4,3,2,2,5,5,2,5,1,6,5,6,3,2,7,7,7,Satire UK
59,3,5,3,4,2,4,5,2,5,3,6,5,3,3,2,5,4,1,Satire UK
60,4,4,4,4,4,4,4,5,7,7,5,6,6,5,3,2,3,3,Regular news UK
61,1,2,2,1,1,5,2,1,7,1,2,1,1,1,1,1,6,1,Regular news UK
62,3,4,5,3,3,4,6,2,5,2,6,5,5,5,2,4,5,5,Satire UK
63,3,4,4,3,4,4,5,3,3,3,4,4,5,3,4,4,5,3,Satire UK
