emotions1,emotions2,emotions3,emotions4,emotions5,emotions6,emotions7,attention1,attention2,attention3,psychdistance1,psychdistance2,psychdistance3,liking1,liking2,liking3,liking4,liking5,humor1,humor2,humor3,aversiveness,messagediscounting1,messagediscounting2,messagediscounting3,messagediscounting4,attitudepositive1,attitudepositive2,attitudepositive3,attitudenegative1,attitudenegative2,attitudenegative3,age,newsconsumption1,newsconsumption2,newsconsumption3,newsconsumption4,condition,country
4,1,4,4,1,1,4,7,7,5,5,6,2,3,4,4,2,2,1,3,2,4,5,4,5,5,3,3,5,5,5,5,37,5,5,4,4,sat,NZ
4,4,6,3,5,2,5,6,5,5,6,6,6,4,4,5,2,2,2,5,4,5,3,5,7,5,2,1,2,6,7,6,20,3,5,4,5,sat,UK
2,5,5,3,5,5,6,3,4,2,6,6,1,4,2,4,2,4,2,2,1,5,2,2,4,2,3,3,3,6,5,2,37,3,3,2,1,sat,NZ
2,2,1,1,5,1,1,5,2,2,1,1,1,1,1,1,1,1,1,1,1,5,6,4,7,6,7,7,7,2,3,2,24,1,2,1,4,reg,NZ
2,2,2,1,1,1,4,6,6,4,6,6,4,4,3,5,2,2,1,1,1,1,1,1,4,2,4,5,2,3,3,5,27,2,5,4,4,reg,NZ
1,2,4,2,1,3,4,6,6,6,6,6,2,6,5,6,2,2,1,2,3,2,2,2,2,2,6,6,6,2,3,2,27,3,5,4,4,sat,NZ
4,5,4,6,4,5,6,4,5,7,5,6,7,5,4,6,5,4,2,4,4,4,2,6,2,5,4,1,1,7,6,7,26,5,6,2,2,reg,UK
5,2,6,3,5,5,6,7,7,7,6,7,3,7,1,7,1,1,1,1,1,7,1,1,2,1,3,2,2,6,5,6,71,5,5,2,2,sat,UK
1,1,5,1,5,1,1,7,7,5,7,7,7,3,2,2,2,2,1,2,2,5,1,2,3,1,5,3,2,3,5,6,41,1,4,1,1,reg,NZ
2,2,5,2,2,1,5,6,6,6,7,7,7,7,1,7,2,1,1,1,1,7,1,1,1,1,2,2,2,7,7,7,32,3,4,1,1,reg,UK
3,3,3,3,3,3,5,6,6,2,5,6,5,3,1,3,1,1,1,1,1,3,6,6,6,7,6,6,6,1,2,5,42,2,1,4,4,sat,NZ
7,6,5,7,3,3,3,7,7,7,4,6,5,4,7,6,6,6,4,6,6,3,2,3,2,2,6,5,6,6,6,6,29,4,5,6,4,reg,NZ
4,4,4,4,4,4,4,6,6,3,6,6,6,2,3,3,3,1,1,2,2,1,1,3,3,1,5,5,5,3,3,3,34,3,4,5,5,reg,NZ
4,4,4,4,4,4,4,6,6,5,4,5,4,3,2,5,1,1,2,1,3,4,1,5,3,2,5,5,3,3,5,5,34,2,4,2,5,reg,NZ
1,4,2,2,2,2,2,6,6,2,3,6,3,2,2,2,2,2,2,3,3,2,4,5,5,7,4,4,4,1,2,2,18,2,4,2,4,sat,UK
5,4,4,6,5,5,5,5,6,7,5,5,3,6,5,5,4,5,3,4,4,4,2,5,6,6,7,6,4,1,2,4,18,3,5,2,3,sat,UK
3,4,2,2,2,5,5,7,6,7,2,6,1,6,6,6,4,4,6,6,6,6,2,3,3,6,6,6,4,3,2,4,41,3,3,3,3,sat,NZ
4,4,4,4,2,5,2,6,3,4,4,6,6,4,4,5,2,3,1,1,3,5,1,7,1,2,6,6,2,2,6,5,31,1,2,4,5,sat,NZ
2,3,4,3,4,4,5,6,5,5,5,6,6,3,3,5,2,3,2,3,2,5,4,3,5,5,2,5,3,3,5,5,40,4,4,2,3,sat,UK
2,2,2,2,2,2,2,5,5,5,4,4,4,6,2,4,2,2,2,2,2,4,2,2,4,2,4,4,4,5,5,4,55,6,6,6,6,reg,UK
3,4,5,3,4,4,5,6,6,5,5,5,2,5,2,5,3,2,1,2,4,5,3,4,3,3,3,3,2,5,5,5,81,3,4,2,2,reg,UK
2,2,2,2,6,5,5,6,6,1,6,6,6,4,1,2,4,1,6,6,4,6,3,2,1,6,6,6,5,3,4,3,19,4,5,3,4,sat,UK
3,4,4,2,2,1,3,6,6,5,2,6,5,5,3,5,4,3,2,2,3,4,2,3,3,3,5,6,6,2,2,3,54,2,4,5,4,reg,UK
4,4,4,4,4,4,4,5,5,2,5,5,5,3,3,3,2,2,2,2,2,3,3,4,3,3,5,5,4,3,3,4,31,3,5,2,4,reg,NZ
4,4,4,4,3,4,3,5,5,3,5,5,5,3,4,4,3,2,2,2,2,5,2,5,3,2,5,4,3,3,4,5,46,7,7,2,3,reg,NZ
4,4,3,2,5,6,6,6,6,6,5,6,5,5,5,6,5,3,1,5,6,7,3,3,4,3,4,3,2,5,6,6,29,3,3,4,1,reg,NZ
4,4,4,4,4,4,4,4,3,5,6,6,5,3,3,5,3,1,1,1,1,3,2,3,3,3,5,4,2,3,3,5,43,7,7,3,2,reg,UK
5,5,6,3,5,5,7,5,6,5,5,2,2,6,6,6,4,3,1,1,5,5,1,2,2,2,2,1,1,6,6,7,30,5,4,1,1,sat,UK
2,4,5,2,5,2,2,7,7,4,2,6,5,3,2,5,2,2,2,2,2,2,2,2,2,2,4,4,4,4,5,5,29,3,6,3,4,reg,UK
4,4,4,3,5,4,5,4,3,2,5,6,6,2,2,4,2,2,1,1,1,4,1,4,6,6,2,3,2,6,6,6,27,4,5,2,3,sat,UK
2,2,2,2,2,2,2,4,6,5,2,6,3,5,1,6,2,3,1,2,2,3,2,2,2,2,5,5,3,3,3,5,29,1,3,3,5,reg,UK
1,1,1,1,1,1,1,5,5,4,4,5,2,5,4,4,2,1,1,1,2,4,2,1,4,2,4,2,4,4,5,4,64,4,5,2,1,sat,NZ
2,2,2,2,2,2,2,6,6,4,2,6,3,4,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,4,4,4,62,5,5,3,4,reg,UK
4,4,4,4,4,4,5,6,6,4,6,7,5,3,4,4,4,4,5,4,4,4,2,2,2,4,6,5,4,2,2,2,33,3,7,3,5,reg,NZ
1,4,5,2,5,3,5,6,5,6,6,7,6,6,1,5,1,5,1,4,4,7,1,3,4,2,4,2,3,6,5,5,30,3,4,6,6,reg,UK
4,4,4,4,4,5,5,6,6,5,5,6,5,3,4,5,3,4,3,3,5,4,1,2,2,2,6,5,5,3,4,5,53,7,7,3,4,reg,UK
2,4,3,1,5,4,5,5,5,4,6,6,6,3,2,5,2,1,3,2,2,4,3,5,4,5,5,5,6,6,5,6,33,4,6,5,4,sat,NZ
2,2,2,2,2,6,7,2,3,1,6,5,6,2,2,1,1,2,3,6,2,1,1,2,3,3,7,5,3,1,1,2,21,5,7,2,3,reg,NZ
2,3,5,2,5,3,5,5,4,3,5,7,6,4,4,4,2,2,4,5,3,5,3,6,6,5,2,1,1,6,6,7,21,3,5,4,3,reg,UK
4,4,4,2,1,2,5,6,6,3,5,7,2,5,5,4,5,4,6,6,5,1,6,6,5,4,4,4,4,4,4,4,29,3,7,3,6,sat,NZ
2,2,5,3,3,2,4,7,7,3,2,6,5,2,3,3,2,2,2,5,2,5,1,2,2,3,5,5,2,5,3,6,29,4,5,7,6,reg,UK
